1/2, -13/32
1/3, -98/243
1/4, -339/1024
1/5, -844/3125
1/6, -1745/7776
1/7, -3198/16807
1/8, -5383/32768
1/9, -8504/59049
1/10, -12789/100000
1/11, -18490/161051
1/12, -25883/248832
1/13, -35268/371293
1/14, -46969/537824
1/15, -61334/759375
1/16, -78735/1048576
1/17, -99568/1419857
1/18, -124253/1889568
1/19, -153234/2476099
1/20, -186979/3200000
1/21, -225980/4084101
1/22, -270753/5153632
1/23, -321838/6436343
1/24, -379799/7962624
1/25, -445224/9765625
1/26, -518725/11881376
1/27, -600938/14348907
1/28, -692523/17210368
1/29, -794164/20511149
1/30, -906569/24300000
1/31, -1030470/28629151
1/32, -1166623/33554432
1/33, -1315808/39135393
1/34, -1478829/45435424
1/35, -1656514/52521875
1/36, -1849715/60466176
1/37, -2059308/69343957
1/38, -2286193/79235168
1/39, -2531294/90224199
1/40, -2795559/102400000
1/41, -3079960/115856201
1/42, -3385493/130691232
1/43, -3713178/147008443
1/44, -4064059/164916224
1/45, -4439204/184528125
1/46, -4839705/205962976
1/47, -5266678/229345007
1/48, -5721263/254803968
1/49, -6204624/282475249
1/50, -6717949/312500000
1/51, -7262450/345025251
1/52, -7839363/380204032
1/53, -8449948/418195493
1/54, -9095489/459165024
1/55, -9777294/503284375
1/56, -10496695/550731776
1/57, -11255048/601692057
1/58, -12053733/656356768
1/59, -12894154/714924299
1/60, -13777739/777600000
1/61, -14705940/844596301
1/62, -15680233/916132832
1/63, -16702118/992436543
1/64, -17773119/1073741824
1/65, -18894784/1160290625
1/66, -20068685/1252332576
1/67, -21296418/1350125107
1/68, -22579603/1453933568
1/69, -23919884/1564031349
1/70, -25318929/1680700000
1/71, -26778430/1804229351
1/72, -28300103/1934917632
1/73, -29885688/2073071593
1/74, -31536949/2219006624
1/75, -33255674/2373046875
1/76, -35043675/2535525376
1/77, -36902788/2706784157
1/78, -38834873/2887174368
1/79, -40841814/3077056399
1/80, -42925519/3276800000
1/81, -45087920/3486784401
1/82, -47330973/3707398432
1/83, -49656658/3939040643
1/84, -52066979/4182119424
1/85, -54563964/4437053125
1/86, -57149665/4704270176
1/87, -59826158/4984209207
1/88, -62595543/5277319168
1/89, -65459944/5584059449
1/90, -68421509/5904900000
1/91, -71482410/6240321451
1/92, -74644843/6590815232
1/93, -77911028/6956883693
1/94, -81283209/7339040224
1/95, -84763654/7737809375
1/96, -88354655/8153726976
1/97, -92058528/8587340257
1/98, -95877613/9039207968
1/99, -99814274/9509900499
2/3, -58/243
2/5, -1338/3125
2/7, -6170/16807
2/9, -17626/59049
2/11, -39546/161051
2/13, -76538/371293
2/15, -133978/759375
2/17, -218010/1419857
2/19, -335546/2476099
2/21, -494266/4084101
2/23, -702618/6436343
2/25, -969818/9765625
2/27, -1305850/14348907
2/29, -1721466/20511149
2/31, -2228186/28629151
2/33, -2838298/39135393
2/35, -3564858/52521875
2/37, -4421690/69343957
2/39, -5423386/90224199
2/41, -6585306/115856201
2/43, -7923578/147008443
2/45, -9455098/184528125
2/47, -11197530/229345007
2/49, -13169306/282475249
2/51, -15389626/345025251
2/53, -17878458/418195493
2/55, -20656538/503284375
2/57, -23745370/601692057
2/59, -27167226/714924299
2/61, -30945146/844596301
2/63, -35102938/992436543
2/65, -39665178/1160290625
2/67, -44657210/1350125107
2/69, -50105146/1564031349
2/71, -56035866/1804229351
2/73, -62477018/2073071593
2/75, -69457018/2373046875
2/77, -77005050/2706784157
2/79, -85151066/3077056399
2/81, -93925786/3486784401
2/83, -103360698/3939040643
2/85, -113488058/4437053125
2/87, -124340890/4984209207
2/89, -135952986/5584059449
2/91, -148358906/6240321451
2/93, -161593978/6956883693
2/95, -175694298/7737809375
2/97, -190696730/8587340257
2/99, -206638906/9509900499
3/4, -129/1024
3/5, -1002/3125
3/7, -7212/16807
3/8, -13845/32768
3/10, -37947/100000
3/11, -57144/161051
3/13, -114690/371293
3/14, -155199/537824
3/16, -265629/1048576
3/17, -338142/1419857
3/19, -524784/2476099
3/20, -641937/3200000
3/22, -932007/5153632
3/23, -1108380/6436343
3/25, -1532982/9765625
3/26, -1785099/11881376
3/28, -2379225/17210368
3/29, -2725554/20511149
3/31, -3528084/28629151
3/32, -3989037/33554432
3/34, -5042739/45435424
3/35, -5640672/52521875
3/37, -6992202/69343957
3/38, -7751415/79235168
3/40, -9451317/102400000
3/41, -10398054/115856201
3/43, -12500760/147008443
3/44, -13663209/164916224
3/46, -16227039/205962976
3/47, -17635332/229345007
3/49, -20722494/282475249
3/50, -22408707/312500000
3/52, -26085297/380204032
3/53, -28083450/418195493
3/55, -32419452/503284375
3/56, -34765509/550731776
3/58, -39834795/656356768
3/59, -42566664/714924299
3/61, -48446994/844596301
3/62, -51604527/916132832
3/64, -58377549/1073741824
3/65, -62002542/1160290625
3/67, -69753792/1350125107
3/68, -73889985/1453933568
3/70, -82708887/1680700000
3/71, -87401964/1804229351
3/73, -97381830/2073071593
3/74, -102679419/2219006624
3/76, -113917449/2535525376
3/77, -119869122/2706784157
3/79, -132466404/3077056399
3/80, -139123677/3276800000
3/82, -153185187/3707398432
