u,t,f(u),f(t)
1/3,2,11/27,33
1/3,29/33,11/27,9025/35937
1/4,3/2,5/8,10
1/4,13/16,5/8,5/512
1/5,4/3,93/125,155/27
1/5,11/24,93/125,155/1728
1/5,13/2,93/125,1860
1/5,29/31,93/125,16335/29791
1/5,89/31,93/125,3705135/29791
1/6,5/4,22/27,33/8
1/7,2/63,295/343,248095/250047
1/7,6/5,295/343,413/125
1/7,61/59,295/343,264915/205379
1/8,7/6,57/64,76/27
1/9,8/7,665/729,855/343
1/9,22/63,665/729,91295/250047
1/9,41/19,665/729,302715/6859
1/9,73/90,665/729,532/91125
1/10,2/5,116/125,29/125
1/10,3,116/125,145
1/10,9/8,116/125,145/64
1/10,12/29,116/125,4805/24389
1/10,17/5,116/125,27869/125
1/10,37/45,116/125,3509/91125
1/11,10/9,1251/1331,1529/729
1/12,11/10,205/216,246/125
1/13,12/11,2101/2197,2483/1331
1/14,13/12,330/343,385/216
1/15,14/13,3263/3375,3765/2197
1/16,15/14,497/512,568/343
1/17,16/15,4785/4913,5423/3375
1/18,17/16,712/729,801/512
1/19,18/17,6715/6859,7505/4913
1/20,9/20,981/1000,109/1000
1/20,11/2,981/1000,1090
1/20,19/18,981/1000,1090/729
1/21,20/19,9101/9261,10059/6859
1/22,21/20,1310/1331,1441/1000
1/23,22/21,11991/12167,13133/9261
1/24,23/22,1705/1728,1860/1331
1/25,24/23,15433/15625,16775/12167
1/26,25/24,2172/2197,2353/1728
1/27,26/25,19475/19683,21033/15625
1/28,27/26,2717/2744,2926/2197
1/29,28/27,24165/24389,25955/19683
1/30,29/28,3346/3375,3585/2744
1/31,30/29,29551/29791,31589/24389
1/32,31/30,4065/4096,4336/3375
1/33,32/31,35681/35937,37983/29791
1/34,8/17,4880/4913,305/4913
1/34,9,4880/4913,5185
1/34,33/32,4880/4913,5185/4096
1/34,73/85,4880/4913,102541/614125
1/35,34/33,42603/42875,45185/35937
1/36,35/34,5797/5832,6138/4913
1/37,36/35,50365/50653,53243/42875
1/38,37/36,6822/6859,7201/5832
1/39,38/37,59015/59319,62205/50653
1/40,39/38,7961/8000,8380/6859
1/41,40/39,68601/68921,72119/59319
1/42,41/40,9220/9261,9681/8000
1/43,42/41,79171/79507,83033/68921
1/44,43/42,10605/10648,11110/9261
1/45,44/43,90773/91125,94995/79507
1/46,45/44,12122/12167,12673/10648
1/47,46/45,103455/103823,108053/91125
1/48,47/46,13777/13824,14376/12167
1/49,48/47,117265/117649,122255/103823
1/50,49/48,15576/15625,16225/13824
1/51,50/49,132251/132651,137649/117649
1/52,25/52,17525/17576,701/17576
1/52,27/2,17525/17576,18226
1/52,51/50,17525/17576,18226/15625
1/53,52/51,148461/148877,154283/132651
1/54,53/52,19630/19683,20385/17576
1/55,54/53,165943/166375,172205/148877
1/56,55/54,21897/21952,22708/19683
1/57,56/55,184745/185193,191463/166375
1/58,57/56,24332/24389,25201/21952
1/59,58/57,204915/205379,212105/185193
1/60,59/58,26941/27000,27870/24389
1/61,60/59,226501/226981,234179/205379
1/62,61/60,29730/29791,30721/27000
1/63,62/61,249551/250047,257733/226981
1/64,63/62,32705/32768,33760/29791
1/65,64/63,274113/274625,282815/250047
1/66,65/64,35872/35937,36993/32768
1/67,66/65,300235/300763,309473/274625
1/68,67/66,39237/39304,40426/35937
1/69,68/67,327965/328509,337755/300763
1/70,69/68,42806/42875,44065/39304
1/71,70/69,357351/357911,367709/328509
1/72,3/7,46585/46656,55/343
1/72,4,46585/46656,385
1/72,6/7,46585/46656,55/343
1/72,9/11,46585/46656,35/1331
1/72,71/70,46585/46656,47916/42875
1/73,72/71,388441/389017,399383/357911
1/74,18/37,50580/50653,1405/50653
1/74,19,50580/50653,51985
1/74,73/72,50580/50653,51985/46656
1/75,74/73,421283/421875,432825/389017
1/76,75/74,54797/54872,56278/50653
1/77,76/75,455925/456533,468083/421875
1/78,77/76,59242/59319,60801/54872
1/79,78/77,492415/493039,505205/456533
1/80,79/78,63921/64000,65560/59319
1/81,80/79,530801/531441,544239/493039
1/82,81/80,68840/68921,70561/64000
